,Property_name,xirr,flag,first_sale_price,second_sale_price,time,first_sale_date,second_sale_date,year_built,lat,long
30,Tanque Verde_1979_428_32.2518675_-110.8294652_1,0.2182318244537457,Evenly Increase,11400000.0,21300000.0,5.208219178082191,2010/3/25,2014/9/11,1979,32.2518675,-110.8294652
31,Tanque Verde_1979_428_32.2518675_-110.8294652_2,0.12026587254922856,Evenly Increase,21300000.0,26500000.0,3.9863013698630136,2014/9/11,2018/3/20,1979,32.2518675,-110.8294652
32,Tanque Verde_1979_428_32.2518675_-110.8294652_3,0.2933755154963625,Evenly Increase,26500000.0,46100000.0,3.0506025900142224,2018/3/20,2020/9/30,1979,32.2518675,-110.8294652
33,The Place At 7400_1985_360_32.1907986_-110.8353033_0,0.14223692539416882,Inflate/Deflate with CPI,13650000.0,18000000.0,3.350684931506849,2015/5/15,2018/9/20,1985,32.1907986,-110.8353033
34,The Place At 7400_1985_360_32.1907986_-110.8353033_1,0.4437732276477105,Inflate/Deflate with CPI,18000000.0,34750000.0,2.3780073358784337,2018/9/20,2020/9/30,1985,32.1907986,-110.8353033
35,Las Villas De Kino_1998_348_32.15248627_-110.9321076_0,0.26865194267701226,Evenly Increase,21000000.0,34697422.0,2.5737704918032787,2017/7/18,2020/2/13,1998,32.15248627,-110.9321076
36,Springs at Continental Ranch_2000_196_32.3510223_-111.0983646_1,0.2496524684932755,Inflate/Deflate with CPI,20912500.0,37250000.0,3.1939890710382515,2016/10/27,2020/1/6,2000,32.3510223,-111.0983646
37,Springs at Silverbell Apartments_2002_290_32.3463823_-111.098071_0,0.20389263947272473,Inflate/Deflate with CPI,31500000.0,50250000.0,3.26775956284153,2016/9/30,2020/1/6,2002,32.3463823,-111.098071
38,St Johns Palms_1986_368_32.3214668_-111.0152455_0,0.06230553482859784,Evenly Increase,24000000.0,25300000.0,9.106849315068493,2005/10/6,2014/11/14,1986,32.3214668,-111.0152455
39,St Johns Palms_1986_368_32.3214668_-111.0152455_1,0.15880870009049472,Evenly Increase,25300000.0,40302300.0,4.810958904109588,2014/11/14,2019/7/29,1986,32.3214668,-111.0152455
40,Orange Tree Village_1981_110_32.3211565_-110.9789088_0,0.4226486842741286,Inflate/Deflate with CPI,10525000.0,15900000.0,1.3232876712328767,2018/3/19,2019/7/15,1981,32.3211565,-110.9789088
41,Bear Canyon_1996_238_32.2611943_-110.7989739_0,0.3150044347962918,Evenly Decrease,18350000.0,32271000.0,2.3726027397260276,2003/8/27,2006/1/10,1996,32.2611943,-110.7989739
42,Bear Canyon_1996_238_32.2611943_-110.7989739_2,0.27280003859252666,Inflate/Deflate with CPI,27500000.0,30000000.0,0.30684931506849317,2007/2/22,2007/6/14,1996,32.2611943,-110.7989739
43,Bear Canyon_1996_238_32.2611943_-110.7989739_3,-0.020550268375805685,Evenly Increase,30000000.0,23200000.0,5.074608877910023,2007/6/14,2012/3/21,1996,32.2611943,-110.7989739
